플랫폼,브랜드,상품명,카테고리,가격,할인율,평점,리뷰수,로켓배송여부,상품URL,수집일
쿠팡,고려은단,"고려은단 식물성 퓨어 알티지 오메가3 기억력+, 60정, 1개",오메가3,16400,18%,5.0,27471,Y,https://www.coupang.com/vp/products/8128434564?itemId=23490185558&vendorItemId=90111659180&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,레모나,"레모나 상큼한 비타민C 30포, 60g, 1개",비타민C,6900,34%,5.0,20629,Y,https://www.coupang.com/vp/products/6537152377?itemId=26331535539&vendorItemId=94489551913&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,메가도스,"메가도스 비타민C 3000mg, 180g, 2개",비타민C,29080,6%,5.0,64496,Y,https://www.coupang.com/vp/products/46208003?itemId=19421891658&vendorItemId=86533350979&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,나우푸드,"나우푸드 마그네슘 글리시네이트 바이오페린 베지 캡슐, 1개, 60정",마그네슘,15100,5%,5.0,610,N,https://www.coupang.com/vp/products/8313071049?itemId=25071594162&vendorItemId=92075675826&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,나우푸드,"나우푸드 마그네슘 캡 400mg 베지 캡슐, 180정, 1개",마그네슘,19400,5%,5.0,12051,N,https://www.coupang.com/vp/products/26208?itemId=65370&vendorItemId=3085763155&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,닥터린,"닥터린 정품 초임계 알티지 오메가3 알파, 30정, 1개",오메가3,9400,23%,5.0,40373,Y,https://www.coupang.com/vp/products/8230302231?itemId=23686191161&vendorItemId=91176700839&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,종근당건강,"종근당건강 원데이21 멀티비타민 앤 미네랄, 60정, 2개",멀티비타민/종합비타민/멀티미네랄,19500,53%,5.0,59490,Y,https://www.coupang.com/vp/products/7735337888?itemId=21135423313&vendorItemId=4417937649&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 멀티비타민 올인원 맨, 60정, 1개",멀티비타민/종합비타민/멀티미네랄,21590,13%,5.0,1959,Y,https://www.coupang.com/vp/products/9219313471?itemId=27336863054&vendorItemId=94225309853&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,그린몬스터,"그린몬스터 맥스 칼슘 마그네슘 비타민D 아연 3개월분, 90정, 1개",마그네슘,6500,67%,5.0,4179,Y,https://www.coupang.com/vp/products/8799540482?itemId=25636155219&vendorItemId=92626229331&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,뉴트리디데이,"뉴트리디데이 프리미엄 마그네슘 400, 90정, 2개",마그네슘,19900,53%,5.0,10198,Y,https://www.coupang.com/vp/products/9221655436?itemId=27250668724&vendorItemId=76228037674&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,세노비스,"세노비스 키즈 츄어블 오메가3, 150정, 1개",오메가3,27320,44%,4.5,12104,Y,https://www.coupang.com/vp/products/7234492632?itemId=12080653895&vendorItemId=3000279168&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,아임비타,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 2개",멀티비타민/종합비타민/멀티미네랄,26800,35%,5.0,9280,Y,https://www.coupang.com/vp/products/7163887733?itemId=28261150809&vendorItemId=93526810084&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,익스트림,"익스트림 초임계 알티지 오메가3 플러스 31.2g, 30정, 1개",오메가3,9900,34%,5.0,3914,Y,https://www.coupang.com/vp/products/8203833908?itemId=20142997753&vendorItemId=92403172144&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 멀티비타민, 60정, 1개",멀티비타민/종합비타민/멀티미네랄,23950,0%,5.0,60057,Y,https://www.coupang.com/vp/products/6743604050?itemId=18115015920&vendorItemId=78477362977&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,리필팩,"서울약사신협 프로바이오틱스 생유산균 골드 2.5g 120포 (리필팩), 300g, 2개",유산균,24200,26%,5.0,3900,Y,https://www.coupang.com/vp/products/7485452371?itemId=27064879459&vendorItemId=91539247084&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 종근당건강 생유산균 코어맥스, 120g, 1개",유산균,10840,58%,5.0,10435,Y,https://www.coupang.com/vp/products/8289078907?itemId=22947634951&vendorItemId=94416287057&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,헬로바이오,"헬로바이오 맥스 비타민C 3000 90p, 270g, 1개",비타민C,10700,46%,5.0,4729,Y,https://www.coupang.com/vp/products/7773764940?itemId=20994090017&vendorItemId=92581947329&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,나우푸드,"나우푸드 울트라 오메가 3 500 EPA 250 DHA 소프트젤, 180정, 1개",오메가3,40360,8%,5.0,38244,Y,https://www.coupang.com/vp/products/9392378613?itemId=12932887739&vendorItemId=70393847077&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,500억,"500억 유산균 CJ 바이오코어 건강한 생유산균 고함량 특허유산균, 60정, 1개",유산균,30900,5%,5.0,7811,Y,https://www.coupang.com/vp/products/9617632719?itemId=28245998354&vendorItemId=84993541539&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,99바이탈,"99바이탈 뼈튼튼 칼슘 마그네슘 비타민D 아연, 1개, 300정",마그네슘,9900,50%,5.0,2759,Y,https://www.coupang.com/vp/products/8936208714?itemId=26127392699&vendorItemId=93687954846&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 생유산균 키즈, 60회분, 120g, 1개",유산균,12740,0%,5.0,69721,Y,https://www.coupang.com/vp/products/7201469545?itemId=18204315043&vendorItemId=83397339509&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,나우푸드,"나우푸드 데일리 비츠 멀티비타민 & 미네랄 타블렛, 250정, 1개",멀티비타민/종합비타민/멀티미네랄,33900,5%,5.0,13792,Y,https://www.coupang.com/vp/products/209272?itemId=24200226781&vendorItemId=3087575897&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,아임비타,"아임비타 멀티비타민 데일리, 60정, 1개",멀티비타민/종합비타민/멀티미네랄,9200,0%,5.0,11476,Y,https://www.coupang.com/vp/products/6979250092?itemId=17043928434&vendorItemId=84218715406&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 식물성 퓨어 알티지 오메가3 기억력+, 60정, 2개",오메가3,31400,21%,5.0,27471,Y,https://www.coupang.com/vp/products/8128434564?itemId=22984572212&vendorItemId=90111659175&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 속편한 비타민C 1000 중성비타민C, 120정, 1개",비타민C,17950,28%,5.0,5475,Y,https://www.coupang.com/vp/products/9207137676?itemId=21144011570&vendorItemId=81540510452&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 식물성 퓨어 알티지 오메가3 기억력+, 60정, 3개",오메가3,45240,24%,5.0,27471,Y,https://www.coupang.com/vp/products/8128434564?itemId=24639742802&vendorItemId=90111659169&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,비피젠,"비피젠 퓨어 비피더스 골드 프로바이오틱스 특허균 50억 보장, 1개, 30정",유산균,37350,37%,4.5,1322,Y,https://www.coupang.com/vp/products/8616879557?itemId=23941285511&vendorItemId=90907739255&sourceType=CATEGORY&categoryId=305698,2026-06-24
