플랫폼,브랜드,상품명,카테고리,가격,할인율,평점,리뷰수,로켓배송여부,상품URL,수집일
쿠팡,에버콜라겐,"에버콜라겐 정품 인앤업 플러스 6주분, 84정, 1개",콜라겐,32150,54%,5.0,22748,Y,https://www.coupang.com/vp/products/6651456353?itemId=15340861386&vendorItemId=85191097364&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,엠프로,"엠프로 프로바이오틱스 윌 플러스, 120g, 1개",유산균,23250,51%,5.0,7305,Y,https://www.coupang.com/vp/products/1337824068?itemId=22523983567&vendorItemId=84033757187&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,종근당건강,"종근당건강 프로메가 알티지 오메가3 듀얼, 60정, 4개",오메가3,34530,33%,5.0,135020,Y,https://www.coupang.com/vp/products/5449810685?itemId=15748823937&vendorItemId=91597791490&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,덴프스,"덴프스 정품 덴마크 유산균이야기 프로, 60정, 1개",유산균,28900,68%,5.0,10140,Y,https://www.coupang.com/vp/products/7510979869?itemId=19680028176&vendorItemId=84614166472&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,얼라이브,"얼라이브 원스데일리 포 맨 멀티비타민, 80정, 1개",멀티비타민/종합비타민/멀티미네랄,29860,35%,5.0,61023,Y,https://www.coupang.com/vp/products/9405085004?itemId=27136780037&vendorItemId=81352051865&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,알유21,"알유21 비타민 C 4.5g, 6정, 3개",비타민C,8950,50%,5.0,13727,Y,https://www.coupang.com/vp/products/6781007623?itemId=20080420943&vendorItemId=92103049116&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,데이팩,"데이팩 올인원 멀티팩 유산균+오메가+루테인+멀티비타민+미네랄, 30회분, 1개",멀티비타민/종합비타민/멀티미네랄,32620,46%,5.0,2060,Y,https://www.coupang.com/vp/products/7470478223?itemId=19492183837&vendorItemId=94417405153&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,익스트림,"익스트림 초임계 알티지 오메가3 1200, 60정, 1개",오메가3,25500,51%,5.0,3130,Y,https://www.coupang.com/vp/products/6991721536?itemId=17114496144&vendorItemId=91308038061&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,99바이탈,"99바이탈 뼈튼튼 칼슘 마그네슘 비타민D 아연, 2개, 300정",마그네슘,14990,62%,5.0,2759,Y,https://www.coupang.com/vp/products/8936208714?itemId=26127392701&vendorItemId=93687954848&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,유한건강생활,"유한건강생활 이너플로라 UREX 프로바이오틱스 유산균, 30정, 1개",유산균,22700,54%,5.0,7472,Y,https://www.coupang.com/vp/products/7907824409?itemId=19344715679&vendorItemId=90493792427&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,바이탈프로그램,"바이탈프로그램 비타민C 플러스 1000mg, 120회분, 1개",비타민C,13850,23%,5.0,2339,Y,https://www.coupang.com/vp/products/7650630945?itemId=23545317405&vendorItemId=92077584924&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,순수식품,"순수식품 rTG 오메가3 비타민D 1000mg, 60정, 3개",오메가3,26870,40%,4.5,11885,Y,https://www.coupang.com/vp/products/1388355334?itemId=23973317495&vendorItemId=91766616313&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,99바이탈,"99바이탈 올인원 종합비타민, 2개, 300정",멀티비타민/종합비타민/멀티미네랄,14990,62%,5.0,4579,Y,https://www.coupang.com/vp/products/8936204653?itemId=26127376751&vendorItemId=93687927046&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,다리,"다리 쥐날 때 먹는 추천 근육 경련 신경 이완 에 좋은 알약 산화 흡수 빠른 글루콘산 마그네슘 영양제 정 약 국용, 1개, 90정",마그네슘,27990,6%,4.5,64,Y,https://www.coupang.com/vp/products/9530775036?itemId=28422080234&vendorItemId=95406954006&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 비타민C 1000 + 쇼핑백, 180정, 3개",비타민C,41630,2%,5.0,287796,Y,https://www.coupang.com/vp/products/9334963084?itemId=2583442745&vendorItemId=84995745625&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,지큐랩,"지큐랩 100억 생유산균 골드, 60정, 1개",유산균,23000,0%,5.0,15888,Y,https://www.coupang.com/vp/products/8232473970?itemId=23695709478&vendorItemId=71966623886&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,얼라이브,"얼라이브 원스데일리 포 우먼 멀티비타민, 80정, 1개",멀티비타민/종합비타민/멀티미네랄,29900,35%,5.0,43139,Y,https://www.coupang.com/vp/products/3961975?itemId=26273933266&vendorItemId=81351466902&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,종근당,"종근당 장건강 프로젝트365 비피더스 유산균 100억 10.5g, 30정, 2개",유산균,30150,58%,5.0,884,Y,https://www.coupang.com/vp/products/8987556883?itemId=26373633111&vendorItemId=93350278653&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,트루맘,"트루맘 일동후디스 비오타민 프로바이오틱스, 90g, 1개",유산균,15500,0%,5.0,25080,Y,https://www.coupang.com/vp/products/7396354826?itemId=19940707241&vendorItemId=79820795850&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,바이오가이아,"바이오가이아 프로텍티스 베이비드롭 액상 프로바이오틱스, 5ml, 1개",유산균,28720,31%,5.0,7693,Y,https://www.coupang.com/vp/products/6758879578?itemId=22081259362&vendorItemId=83044891503&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 키즈 유산균, 60회분, 120g, 2개",유산균,24490,50%,5.0,69721,Y,https://www.coupang.com/vp/products/7201469545?itemId=18204335750&vendorItemId=70826469696&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,종근당건강,"종근당건강 락토핏 생유산균 맘스, 120g, 1개",유산균,24300,0%,5.0,8571,Y,https://www.coupang.com/vp/products/9257685788?itemId=17843799754&vendorItemId=84287899402&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,덴프스,"덴프스 덴마크 유산균이야기, 30정, 3개",유산균,39000,74%,5.0,62826,Y,https://www.coupang.com/vp/products/6063894601?itemId=12826882523&vendorItemId=85873893645&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고함량 마그네슘 영양제,"(고함량 마그네슘 영양제) 400mg 프리미엄 산화마그네슘 식약처 인증 식약청 인정 건강헤아림, 90정, 2개",마그네슘,29900,60%,4.5,6902,Y,https://www.coupang.com/vp/products/6299868709?itemId=20374319569&vendorItemId=91749984979&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,레모나,"레모나 비타민C 150포, 300g, 1개",비타민C,26900,48%,5.0,20629,Y,https://www.coupang.com/vp/products/6537152377?itemId=18725524068&vendorItemId=79726952015&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,드시모네,"드시모네 프로바이오틱스 베이비스텝2 30p, 30g, 1개",유산균,29500,38%,5.0,2415,N,https://www.coupang.com/vp/products/6340558870?itemId=11724205595&vendorItemId=78998291074&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,내츄럴플러스,"내츄럴플러스 알티지 오메가3 1200, 180정, 234g, 1개",오메가3,48380,0%,5.0,42568,Y,https://www.coupang.com/vp/products/6071010112?itemId=579858973&vendorItemId=4518862314&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,오쏘몰,"오쏘몰 이뮨 멀티비타민, 30회분, 1개",멀티비타민/종합비타민/멀티미네랄,77280,0%,4.5,3321,Y,https://www.coupang.com/vp/products/6795956130?itemId=25894722016&vendorItemId=92899616570&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,하루틴,"하루틴 리포좀 비타민C 500mg, 90정, 1개",비타민C,35900,50%,4.5,14196,Y,https://www.coupang.com/vp/products/6981039190?itemId=20660109482&vendorItemId=95522986434&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 비타민C 골드 플러스, 180정, 1개",비타민C,28680,0%,5.0,30467,Y,https://www.coupang.com/vp/products/8225410091?itemId=18917138751&vendorItemId=81643619961&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 키즈 유산균, 60회분, 120g, 3개",유산균,33150,0%,5.0,69721,Y,https://www.coupang.com/vp/products/7201469545?itemId=18204296291&vendorItemId=85072692918&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락피도,"락피도 프로바이오틱스 키즈 플러스 60p, 120g, 1개",유산균,24220,59%,5.0,5942,Y,https://www.coupang.com/vp/products/7516485954?itemId=10707356793&vendorItemId=77988051099&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,듀오락,"듀오락 데일리키즈 츄어블 어린이 유산균, 60정, 1개",유산균,29980,9%,5.0,9270,Y,https://www.coupang.com/vp/products/7856198008?itemId=21426531296&vendorItemId=70524511271&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,닥터린,"닥터린 정품 하이퍼셀 알티지 rTG 오메가3 알파, 30정, 3개",오메가3,41500,0%,4.5,11540,Y,https://www.coupang.com/vp/products/8349288599?itemId=24126426165&vendorItemId=91145504267&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 코어 유산균 60p, 120g, 6개",유산균,59090,0%,5.0,80988,Y,https://www.coupang.com/vp/products/5498533952?itemId=17908212035&vendorItemId=85350397488&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,세노비스,"세노비스 정품 마그네슘, 90정, 2개",마그네슘,28000,50%,5.0,34420,Y,https://www.coupang.com/vp/products/7792384678?itemId=21084993531&vendorItemId=85296817119&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,닥터린,"닥터린 초임계 알티지 오메가3 알파 30.21g, 30정, 6개",오메가3,52900,10%,5.0,40373,Y,https://www.coupang.com/vp/products/8230302231?itemId=23686281483&vendorItemId=94261559907&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 솔루션2 예민한 장 유산균, 30정, 2개",유산균,33600,43%,5.0,4107,Y,https://www.coupang.com/vp/products/8328135952?itemId=28173305186&vendorItemId=92497698304&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,세노비스,"세노비스 수퍼바이오틱스 유산균, 60정, 1개",유산균,33900,50%,5.0,5003,Y,https://www.coupang.com/vp/products/8810804380?itemId=27568673694&vendorItemId=3000279173&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,종근당건강,"종근당건강 프로메가 알티지 오메가3 듀얼, 60정, 6개",오메가3,51790,33%,5.0,135020,Y,https://www.coupang.com/vp/products/5449810685?itemId=17884896663&vendorItemId=91597791536&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,알유21,"알유21 비타민C, 6정, 12개",비타민C,26980,0%,5.0,13727,Y,https://www.coupang.com/vp/products/6781007623?itemId=3458698287&vendorItemId=71445076861&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,드시모네,"드시모네 곰돌이 츄어블 플러스 유아유산균, 60정, 2개",유산균,48000,0%,5.0,2460,Y,https://www.coupang.com/vp/products/6040975257?itemId=18741627277&vendorItemId=85873890688&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,밸러니티,"밸러니티 고함량 5mg 식물성 멜라토닌 식약처 인증 테아닌 트립토판 마그네슘, 3개, 30정",마그네슘,35510,43%,4.5,10778,Y,https://www.coupang.com/vp/products/8391731675?itemId=24257855459&vendorItemId=95128284182&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 당케어 유산균, 120g, 3개",유산균,37040,64%,5.0,21401,Y,https://www.coupang.com/vp/products/7893057219?itemId=23742644972&vendorItemId=89440810281&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,뉴트리정,"뉴트리정 시크릿 이너케어 편안해질 질 유래 특허 유산균 대용량, 1개, 180정",유산균,16900,57%,5.0,106,Y,https://www.coupang.com/vp/products/9581361791?itemId=28600517675&vendorItemId=95544144070&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,덴프스,"덴프스 덴마크 유산균이야기, 30정, 4개",유산균,51660,74%,5.0,62826,Y,https://www.coupang.com/vp/products/6063894601?itemId=12916832030&vendorItemId=86533293709&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,에버콜라겐,"에버콜라겐 정품 인앤업 플러스 6주분, 84정, 3개",콜라겐,92650,56%,5.0,22748,Y,https://www.coupang.com/vp/products/6651456353?itemId=22892829377&vendorItemId=89927384271&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,드시모네,"드시모네 프로바이오틱스 베이비스텝2 30p, 30g, 3개",유산균,70020,51%,5.0,2415,N,https://www.coupang.com/vp/products/6340558870?itemId=25779244929&vendorItemId=92767191689&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,익스트림,"익스트림 초임계 알티지 오메가3 플러스 31.2g, 30정, 2개",오메가3,13900,53%,5.0,3914,Y,https://www.coupang.com/vp/products/8203833908?itemId=24974885335&vendorItemId=92410454395&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,비타500,"비타500 잔망루피 콜라겐, 100ml, 20개",콜라겐,12650,0%,5.0,7352,Y,https://www.coupang.com/vp/products/8288409472?itemId=18697819047&vendorItemId=86717806745&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,구트할로,"구트할로 멀티비타민 오렌지맛, 20정, 3개",멀티비타민/종합비타민/멀티미네랄,9900,0%,4.5,7940,Y,https://www.coupang.com/vp/products/2070272826?itemId=18192601057&vendorItemId=71503717344&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,베스트오브그린,"베스트오브그린 고함량 맥스 비타민C 3000, 270g, 1개",비타민C,9500,73%,5.0,4805,Y,https://www.coupang.com/vp/products/7770373143?itemId=26621134256&vendorItemId=88040940674&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,덴마크,"덴마크 구강 유산균 lgg 유산균 프로바이오틱스 365 식약청 HACCP 뉴트라업, 2개, 120정",유산균,38780,50%,5.0,1289,Y,https://www.coupang.com/vp/products/9360918219?itemId=27775230411&vendorItemId=94735627588&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,JW중외제약,"JW중외제약 이뮨 올인원 23종 멀티 종합 비타민 미네랄 플러스 칼슘 마그네슘 영양제, 90정, 1개",마그네슘,15400,48%,5.0,5546,Y,https://www.coupang.com/vp/products/7516421836?itemId=19705260044&vendorItemId=86807965079&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,종근당,"종근당 칼슘 앤 마그네슘 비타민D 아연, 180정, 2개",마그네슘,27600,0%,5.0,186371,Y,https://www.coupang.com/vp/products/5545887952?itemId=16654901334&vendorItemId=4443055448&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,종근당건강,"종근당건강 원데이21 멀티비타민 & 미네랄21종, 60정, 1개",멀티비타민/종합비타민/멀티미네랄,11500,44%,5.0,59653,Y,https://www.coupang.com/vp/products/7735337888?itemId=21275774891&vendorItemId=3010230496&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,비타도스,"비타도스 비타민C 3000mg 고함량 순수 비타민씨 고용량 분말 가루 스틱, 1개, 900g",비타민C,29080,63%,5.0,772,Y,https://www.coupang.com/vp/products/8778065397?itemId=27975564379&vendorItemId=94933410717&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,일양약품,"일양약품 리포좀 글루타치온 90 플러스 비타민C 필름 식약처 HACCP 인증, 1개, 30회분",비타민C,20300,18%,4.5,3543,Y,https://www.coupang.com/vp/products/8511521536?itemId=24637815542&vendorItemId=91770434454&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,차일드라이프,"차일드라이프 멀티비타민 앤 미네랄 망고 오렌지맛, 237ml, 1개",멀티비타민/종합비타민/멀티미네랄,28300,27%,5.0,1591,Y,https://www.coupang.com/vp/products/8288115020?itemId=23901129997&vendorItemId=90923671046&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,삼성제약,"삼성제약 이너와이 프로바이오틱스 밸런스 질유래유산균, 1개, 30정",유산균,10400,16%,5.0,2429,Y,https://www.coupang.com/vp/products/9412383851?itemId=23688215480&vendorItemId=90728391960&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,신신제약,"신신제약 미야리산U 유산균 36g, 1개, 180정",유산균,22500,0%,4.5,3672,Y,https://www.coupang.com/vp/products/8402651056?itemId=7330065157&vendorItemId=94033467331&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,드시모네,"드시모네 프로바이오틱스 캡슐 플러스 1000억 40.2g, 60정, 1개",유산균,57150,41%,5.0,1246,N,https://www.coupang.com/vp/products/7776826657?itemId=21009511284&vendorItemId=88073158563&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,아임비타,"아임비타 멀티비타민 아르기닌샷 14회분, 434g, 1개",멀티비타민/종합비타민/멀티미네랄,19900,28%,5.0,1043,Y,https://www.coupang.com/vp/products/8645973267?itemId=25094123509&vendorItemId=92097790552&sourceType=CATEGORY&categoryId=305698,2026-06-29
쿠팡,순수식품,"순수식품 진짜 석류 저분자 콜라겐 젤리 스틱, 300g, 4개",콜라겐,24480,38%,4.5,33808,Y,https://www.coupang.com/vp/products/1272398102?itemId=9595913120&vendorItemId=91744245024&sourceType=CATEGORY&categoryId=305698,2026-06-29
