카테고리,goods_no,brand,name,price_org,price_cur,score,review_count,tags,link,img_url
비타민,B000000150649,가든오브라이프,가든오브라이프 유기농 비타민C 60정 (2개월분),,65000,4.0,2,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000150649,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0015/B00000015064903ko.jpg?l=ko
비타민,B000000158563,스키니랩,스키니랩 종합비타민 미네랄 3박스(3개월분),,42900,4.9,11,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000158563,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0015/B00000015856311ko.jpg?l=ko
비타민,B000000165649,가든오브라이프,가든오프라이프 유기농 비타민C 스프레이 58ml (1개월분),,30000,4.9,9,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000165649,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/B00000016564903ko.jpg?l=ko
비타민,B000000176864,덴프스,덴프스 트루바이타민 포커스 1/2/3/4박스 (1/2/3/4개월분),,38000,4.9,95,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000176864,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/B00000017686419ko.jpg?l=ko
비타민,B000000176865,덴프스,덴프스 트루바이타민 포커스 3/4박스 (3/4개월분) +증정: 트루바이타민 12포,107000.0,79000,4.9,95,쿠폰,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000176865,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/B00000017686534ko.jpg?l=ko
비타민,B000000201283,셀렉스,셀렉스 비타민C 60정 (1개월분),,18900,5.0,10,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000201283,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/B00000020128303ko.jpg?l=ko
비타민,B000000209029,한삼인,한삼인 멀티비타G 이뮨샷 10개입 (10일분),,34000,5.0,65,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000209029,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/B00000020902904ko.jpg?l=ko
비타민,B000000219682,덴프스,덴프스 트루바이타민 액티브 1/2/3/4박스 (1/2/3/4개월분),,39600,5.0,34,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000219682,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/B00000021968212ko.jpg?l=ko
비타민,B000000229077,메노락토,메노락토 프리미엄 올인원 케어 멀티팩 포 우먼 30개입 (1개월분) + 쇼핑백 증정,29900.0,23200,,,쿠폰,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000229077,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/B00000022907704ko.jpg?l=ko
비타민,B000000229080,메리트C,메리트C 비타민K2&D 30캡슐 (1개월분),11900.0,10900,5.0,4,쿠폰,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000229080,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/B00000022908005ko.jpg?l=ko
비타민,B000000229089,메리트C,메리트C 멀티비타민 미네랄 구미 60구미 (1개월분),,12900,5.0,6,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000229089,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/B00000022908910ko.jpg?l=ko
비타민,B000000233605,가든오브라이프,가든오브라이프 남성추천세트 (남성 멀티비타민 30정(1개월분) + 밀크씨슬 30정(1개월분)),,91529,5.0,18,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000233605,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/B00000023360505ko.jpg?l=ko
비타민,B000000233606,가든오브라이프,가든오브라이프 여성추천세트 (여성 멀티비타민 30정(1개월분) + 비오틴 30정(1개월분)),,102588,,,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000233606,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/B00000023360608ko.jpg?l=ko
비타민,B000000234088,덴프스,덴프스 트루바이타민 포커스 4박스 +증정: 트루바이타민 12포,133420.0,105000,4.9,98,쿠폰,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000234088,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/B00000023408819ko.jpg?l=ko
비타민,B000000234089,덴프스,덴프스 트루바이타민 액티브 4박스 +증정: 트루바이타민 12포,,124200,5.0,34,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000234089,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/B00000023408916ko.jpg?l=ko
비타민,B000000240146,덴프스,덴프스 트루바이타민 포커스 2박스/2개월분,,79000,4.9,99,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000240146,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/B00000024014606ko.jpg?l=ko
비타민,B000000240154,덴프스,덴프스 트루바이타민 액티브 2박스/2개월분,,76000,4.9,36,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000240154,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/B00000024015404ko.jpg?l=ko
비타민,B000000240157,덴프스,덴프스 트루바이타민 액티브 3/4박스 (3개월/4개월분) +증정: 트루바이타민 12포,,86800,5.0,40,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000240157,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/B00000024015713ko.jpg?l=ko
슬리밍_이너뷰티,A000000180121,생활약속,[6월 올영픽/곽민경 PICK] 생활약속 기분전환 알파플러스 10포 (+1포 증정기획),19000.0,13000,4.8,999+,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180121,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018012127ko.jpg?l=ko
슬리밍_이너뷰티,A000000170108,푸드올로지,[서현PICK] 콜레올로지 버닝올로지 디데이 3.8g*5포 (5일분),18900.0,15680,4.7,999+,"세일, 쿠폰, 증정, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170108,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A00000017010822ko.jpg?l=ko
슬리밍_이너뷰티,A000000237482,헬스헬퍼,[추성훈PICK] 헬스헬퍼 맥스컷 프로 크롬 60캡슐 (10일분),21500.0,17960,4.7,656,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000237482,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023748207ko.jpg?l=ko
슬리밍_이너뷰티,A000000175634,푸드올로지,[서현PICK] 콜레올로지 PRO 600mg*30/60정 단품,22900.0,17400,4.7,999+,"세일, 쿠폰, 증정, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000175634,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A00000017563476ko.jpg?l=ko
슬리밍_이너뷰티,A000000183645,푸드올로지,[헬로키티콜라보] 콜레올로지 컷팅 젤리 레몬/키위/석류 10+2포 기획,23900.0,18400,4.8,999+,"세일, 쿠폰, 증정, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183645,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018364574ko.jpg?l=ko
슬리밍_이너뷰티,A000000208183,푸드올로지,맨올로지 컷 PRO 800mg*40정/80정 택 1,20900.0,18530,4.7,999+,"세일, 쿠폰, 증정, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208183,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020818325ko.jpg?l=ko
슬리밍_이너뷰티,A000000248462,바이탈뷰티,[1일 1정] 바이탈뷰티 메타그린 슬림업 단품 30일분,36000.0,27900,4.8,999+,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248462,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024846207ko.jpg?l=ko
슬리밍_이너뷰티,A000000208888,비비랩,[단독기획] 비비랩 저분자콜라겐S 30포 단품/더블기획 (1개월/2개월분),21900.0,16900,4.9,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208888,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020888832ko.png?l=ko
